,PM2.5,water_EQI_22July2013,land_EQI_22July2013,PCP Ratio,MHP Ratio,Dentist Ratio,FIPS,Latitude,Longitude,% Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,% No high school diploma,% Bachelors,Median household income,Healthcare Costs,Preventable Hosp. Rate,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% Insufficient Sleep,% With Access to Exercise,% Excessive Drinking,% Alcohol-Impaired Driving,% Uninsured,% Diabetic,% Unemployed,Income Ratio,Violent Crime Rate,Injury Death Rate,% Severe Housing Problems,% Long Commute - Drives Alone,Years of Potential Life Lost Rate,Chlamydia Rate,perc_pop_fluo,PrescribingRate
817,10.7,-1.068976,0.5088848,1472,526,1516,19057,40.833525,-91.141489,14.663868,3.372131349,3.476020229,18.71921182,5187.68277,50773,8511.17,4273,17.95169277,34,7.3,24.8,29.78586426,75.96280223,18.87216727,38.88888889,4.827123839,11.8,4.253370644,4.207103876,517.5623681,88.02376642,12.57467145,11.6,6975.546426,609.2,0.975265018,85.2
818,8,0.5376975,0.8034197,1326,2150,1433,19059,43.389624,-95.133548,11.15783008,2.739308104,3.024217695,6.341463415,3459.948136,56496,7058.1,2431,13.21386625,30.9,8.6,22.7,24.79819265,92.0201596,19.53775314,18.18181818,4.140546397,9.8,3.659616331,4.279050396,131.4329108,65.54076987,10.44202434,15.9,5891.376808,169.5,0.897906877,76.2
819,10.1,0.4975194,0.6139288,1329,669,1367,19061,42.493726,-90.759915,11.83304828,3.031959078,3.306371372,8.230088496,16073.90888,60936,8394.24,8325,13.94885243,29.9,8.1,23.8,27.96727371,87.93738588,22.65698953,29.03225807,4.095294603,8.5,3.007767311,3.989579729,210.3396367,60.83983809,12.58907363,11.2,5350.978439,244,0.932479405,51.4
820,8,0.1472377,0.7278886,1610,472,1886,19063,43.394425,-94.75499,14.52586771,3.144295119,3.28944514,2.797202797,1552.434964,49353,8390.12,3287,15.12636249,36.8,8,23.2,27.28551823,81.55697923,18.80754331,50,7.015376167,9.3,3.216320529,4.54834679,392.8170595,71.65523595,9.288299156,18.2,5456.038795,327.6,0.819980578,52
821,9.4,0.4897672,0.7239905,2865,2828,2475,19065,42.820385,-91.855375,12.3567452,2.917394989,3.278263093,5.349794239,3246.001228,46389,9574.55,2381,15.51860568,34.4,8.4,29.3,27.82650191,78.22318008,19.43337257,16.66666667,5.345725397,11.1,3.710806405,3.812443214,278.6064745,107.9721056,11.57218001,23.5,5974.742792,276.4,0.665940292,60.4
822,8.6,0.1469807,0.8804609,2646,7872,2249,19067,43.074625,-92.75233,13.38603818,3.073855695,3.286736484,6.666666667,2698.131966,51901,9757.06,5031,15.9746616,32.1,8.1,25.2,27.86548146,72.76574864,18.67024327,5.555555556,5.59798505,11.6,3.247123163,4.869684919,175.3507014,81.50879041,8.550724638,21.9,5534.020724,144.1,0.908820346,53
823,8.8,0.1988221,0.7795967,3390,10164,2541,19069,42.755202,-93.240318,15.22956922,3.260348737,3.352081171,3.260869565,1329.927064,53157,8941.17,2720,15.50203805,35.4,8.4,25.6,27.92319923,72.2846442,17.97956546,42.85714286,6.859070465,11.4,2.771522605,4.022429389,235.0347809,63.93738012,9.976525822,19,6107.909502,213.7,0.863049096,1.1
824,9.1,0.6184613,0.7431418,6950,6948,6948,19071,40.747942,-95.623322,12.03901833,2.971678888,3.169550047,0,1169.926627,52616,11712.81,5299,14.59251655,34,6.8,26,27.46371913,45.07458675,19.50458167,60,4.483972577,10.4,2.608922515,4.195629936,397.3509934,85.94510972,8.9678511,32.6,9957.655052,260.6,0,34.8
825,8.8,-1.408325,0.7791129,2253,1497,2994,19073,42.029792,-94.375962,13.16646918,3.005687192,3.264424923,15,1287.374067,52459,8229.74,3216,15.40136315,35.9,8.4,29.1,28.02896095,68.90531277,19.03424002,18.18181818,5.150520759,12.5,2.791643557,4.118033059,76.83863886,97.00604083,14.14012739,28,7345.135278,276.9,1,86.9
826,9.3,0.1566006,0.7867171,4104,3083,4111,19075,42.380262,-92.748284,9.977803364,2.554265831,2.932997184,3.686635945,1613.21234,72184,8868.64,1541,12.67424858,32.9,8.9,24.2,25.05747207,71.80599052,20.3946502,22.22222222,3.524724152,10.8,2.953391786,3.482982902,97.09916252,61.51853651,7.521697204,29.8,4998.697628,152.8,1,35.5
